name,url,categories,website,phone,address
16 Handles Franchising,https://internationalfrozenyogurt.com/suppliers/16-handles-franchising/,Franchises,http://16handles.com/,(212) 260-4416,"38 East 29th Street, 6th Floor South,New York,NY 10016,US"
20 Degrees Franchise Co.,https://internationalfrozenyogurt.com/suppliers/20-degrees-franchise-co/,Franchises,http://www.20degreesfroyo.com/,(931) 854-1314,"377 West Jackson Street Suite 18,Cookeville,TN 38501"
32 Degrees a Yogurt Bar Franchising,https://internationalfrozenyogurt.com/suppliers/32-degrees-a-yogurt-bar-franchising/,Franchises,http://franchise.32yogurt.com/,(205) 252-7474,"Birmingham,AL,US"
3S POS,https://internationalfrozenyogurt.com/suppliers/3s-pos/,Point of sale systems,http://3s-pos.com,0207 034 3030,"1a Cecil Rd,London,NW9 5EL,UK"
ABC POS/Abacus Business Solutions,https://internationalfrozenyogurt.com/suppliers/abc-posabacus-business-solutions/,Point of sale systems,http://www.abcpos.com,(718) 321-3888,"44-49 College Point Blvd.,Flushing,NY 11335,US"
Abest Kitchen,https://internationalfrozenyogurt.com/suppliers/abest-kitchen/,Restaurant equipment,http://www.akitchen.com,(888) 388-9641,"424 West Exchange St.,Akron,OH 4302,US"
ABS & Taylor Ent.,https://internationalfrozenyogurt.com/suppliers/abs-taylor-ent/,Frozen yogurt machines,http://www.absandtaylor.com/,(708) 233-1472,"5002 W. 123rd St,Alsip,IL 60803,US"
"Absorbent, Ink.",https://internationalfrozenyogurt.com/suppliers/absorbent-ink/,Packaging,http://www.absorbentprinting.com/,(866) 618-3471,"5812 Trade Center Dr., Suite 100,Austin,TX 78744,US"
Acana Northeast,https://internationalfrozenyogurt.com/suppliers/acana-northeast/,Frozen yogurt machines,http://www.acananortheast.com,(800) 922-2629,"360 Commerce Way Unit 3,Pembroke,NH 03275,US"
AccuPOS,https://internationalfrozenyogurt.com/suppliers/accupos/,Point of sale systems,http://www.accupos.com,(800) 906-5010,1990 Westwood Blvd. Suite 265
Ace Mart Restaurant Supply,https://internationalfrozenyogurt.com/suppliers/ace-mart-restaurant-supply/,Restaurant equipment,http://www.acemart.com/,(888) 898-8079,"4004 Ross Ave.,Dallas,TX 75204,US"
ACityDiscount,https://internationalfrozenyogurt.com/suppliers/acitydiscount/,"Frozen yogurt machines,Restaurant equipment",http://www.acitydiscount.com,(404) 752-6715,"6286 Dawson Blvd.,Norcross,GA 30093,US"
Advanced Equipment,https://internationalfrozenyogurt.com/suppliers/advanced-equipment/,Frozen yogurt machines,http://www.coldtreats.com/,(800) 589-3420,"2104 Front St.,Cuyahoga Falls,OH 44221,US"
Advanced Frozen Treat Technology Inc.,https://internationalfrozenyogurt.com/suppliers/advanced-frozen-treat-technology-inc/,Frozen yogurt machines,,(951) 734-6140,"1255 Carbide Dr.,Corona,CA 92881,US"
Advanced Gourmet,https://internationalfrozenyogurt.com/suppliers/advanced-gourmet/,"Consulting/Services,Frozen yogurt machines",http://advancedgourmet.com,(336)856-2919,"P.O. Box 18542,Greensboro,NC 27419,US"
ALCAS S.P.A.,https://internationalfrozenyogurt.com/suppliers/alcas-s-p-a/,Packaging,http://alcas.it/,05715961,"Via Dell Industria 13/15,Montelupo Fiorentino,FI 50056,Italy"
Aloha POS,https://internationalfrozenyogurt.com/suppliers/aloha-pos/,Point of sale systems,http://www.sdcr.com/,(800) 683-2778,"2883 E. Spring St., Ste 150,Long Beach, CA 90720,US"
Ambican,https://internationalfrozenyogurt.com/suppliers/ambican/,Packaging,http://www.ambican.com/,0844-991-7999,"Unit 6,Abbey Industrial Estate,Commercial Way,Abbey Road,London,NW10 7XF,UK"
American Capital Group,https://internationalfrozenyogurt.com/suppliers/american-capital-group/,Consulting/Services,http://www.acgcapital.com/equipment-leasing-products/yogurt-machine-lease.aspx,(877) 814-6871,"8105 Irvine Center Drive, Suite 250,Irvine,CA 92618,US"
American Concession Supply,https://internationalfrozenyogurt.com/suppliers/american-concession-supply/,"Frozen yogurt mix,Toppings & ingredients",http://www.americanconcessionsupply.com,(303) 361-9337,"2450 Airport Boulevard,Aurora	CO	80011,US"
Amoretti Ingredients and Flavors,https://internationalfrozenyogurt.com/suppliers/amoretti-ingredients-flavors/,Toppings & ingredients,http://www.amoretti.com/,(805) 983-2903,"451 Lombard Street, Oxnard, CA 93030,US"
Annie’s Frozen Yogurt,https://internationalfrozenyogurt.com/suppliers/annies-frozen-yogurt/,"Frozen yogurt machines,Frozen yogurt mix",http://anniesfrozenyogurt.com/,(952) 835-2110,"5200 West 74th Street,Edina,MN 55439,US"
Antico Eremo Company Srl,https://internationalfrozenyogurt.com/suppliers/antico-eremo/,"Frozen yogurt mix,Toppings & ingredients",http://www.anticoeremo.it/en,+39 030 2520930,"Via dell’Industria 15,25030 Berlingo (BS) Italy"
Antonelli Bakery,https://internationalfrozenyogurt.com/suppliers/antonelli-bakery/,Toppings & ingredients,http://antonelli.co.uk/,44 (0)843 515 1912,"Soapstone Way,,Irlam,,Manchester,,M44 6RA,UK"
AnyPromo.com,https://internationalfrozenyogurt.com/suppliers/anypromo-com/,Packaging,http://www.anypromo.com,(877) 368-5678,"13437 Benson Ave.,Chino	CA	91710,US"
Arctic Supplies,https://internationalfrozenyogurt.com/suppliers/arctic-supplies/,"Frozen yogurt mix,Packaging",http://arcticsupplies.com/,(800) 402-0819,"8020 118th Ave. N,,Largo, FL 33773,US"
Area Wide Inc.,https://internationalfrozenyogurt.com/suppliers/area-wide-inc/,"Consulting/Services,Frozen yogurt machines",http://www.areawideinc.com,(800) 648-3740,"8269 Brentwood Industrial Dr.,St. Louis,MO 63144,US"
Asean Corporation,https://internationalfrozenyogurt.com/suppliers/asean-corporation/,Packaging,http://stalkmarketproducts.com/,(503) 295-4977,"16540 SW 72nd Bldg 7,Portland,OR 97224,US"
Ashwood,https://internationalfrozenyogurt.com/suppliers/ashwood/,Packaging,http://www.ashwood.biz/,01268 692866,"Unit 2, Bemrose Park,,Wayzgoose Dr.,Derby, DE21 6XQ,UK"
ASTPOS,https://internationalfrozenyogurt.com/suppliers/astpos/,Point of sale systems,http://www.astpos.com/,(925) 417-0762,"5990 Stoneridge Drive, Suite 101,Pleasanton, CA 94588,US"
Auburn Dairy Foodservice,https://internationalfrozenyogurt.com/suppliers/auburn-dairy-foodservice/,"Frozen yogurt mix,Toppings & ingredients",,(800) 950-9264,"702 West Main Street, Auburn, WA 98001,US"
AURES Technologies,https://internationalfrozenyogurt.com/suppliers/aures-technologies/,Point of sale systems,http://www.aures.com/,(714) 669-3111,"15042 Parkway Loop, Building D,,Tustin, CA 92780,US"
Aussie Blends,https://internationalfrozenyogurt.com/suppliers/aussie-blends/,Frozen yogurt mix,http://www.aussieblends.com/,(866) 634-9980,"3600 Red Road, Suite 306,Miramar, FL 33025,US"
Axxon Services,https://internationalfrozenyogurt.com/suppliers/axxon-services/,Consulting/Services,http://www.axxonservices.com,(210) 558-8420,"352 Spencer Lane,San Antonio, TX 78201,US"
Babbi Srl,https://internationalfrozenyogurt.com/suppliers/babbi-srl/,"Frozen yogurt mix,Toppings & ingredients",http://en.babbi.it/,39 0543 448598,"Viale Caduti di Via Fani, 78-80,47032,Panighina FC,Italy"
Baker Architecture,https://internationalfrozenyogurt.com/suppliers/baker-architecture/,Consulting/Services,http://bakerad.com/,(505) 254-4697,"4200-B Lomas Boulevard NE,Albuquerque,NM 87110,US"
BakeryThings.com,https://internationalfrozenyogurt.com/suppliers/bakerythings-com/,Toppings & ingredients,http://www.bakerythings.com,(323) 888-0008,"7142 E. Condor St.,Commerce,CA 90040,US"
Balford Farms,https://internationalfrozenyogurt.com/suppliers/balford-farms/,Frozen yogurt mix,http://www.balford.com/,(609) 699-2630,"Burlington, NJ,US"
Baluna Colombia,https://internationalfrozenyogurt.com/suppliers/baluna-colombia/,"Frozen yogurt machines,Restaurant equipment,Toppings & ingredients",http://www.balunacolombia.com,57 1 612.2821,"Calle 106 #8a,Bogota	DC,Colombia"
Baluna LLC.,https://internationalfrozenyogurt.com/suppliers/baluna-llc/,"Frozen yogurt machines,Restaurant equipment,Toppings & ingredients",http://www.balunamiami.com,(305) 403-5200,"16200 NW 59th Ave. Ste 103,Miami Lakes,FL 33014,US"
BARE International,https://internationalfrozenyogurt.com/suppliers/bare-international/,Consulting/Services,http://www.bareinternational.com/,(800) 296-6699,"3702 Pender Drive, Suite #305,Fairfax, VA 22030,USA"
Bazinet Taylor,https://internationalfrozenyogurt.com/suppliers/bazinet-taylor/,Frozen yogurt machines,http://www.bazinet-taylor.ca/,888-829-5672,"4750 Bourg Street,St-Laurent, Quebec,H4T 1J2,Canada"
Be Green Packaging,https://internationalfrozenyogurt.com/suppliers/green-packaging/,Packaging,http://begreenpackagingstore.com/,(805) 456-6088,"121 West De La Guerra Street, Suite B,Santa Barbara, CA 93101,US"
Beach HVAC Maintenance,https://internationalfrozenyogurt.com/suppliers/beach-hvac-maintenance/,Consulting/Services,http://beachmt.com/,(910) 795-5502,"925 South Kerr Ave,Suite K,Wilmington, NC 28403,US"
Bematech,https://internationalfrozenyogurt.com/suppliers/bematech/,Point of sale systems,http://bematechus.com/,(516) 248-0400,"999 S Oyster Bay Rd,Bethpage, NY,US"
Berry Frozen Yogurt Mix,https://internationalfrozenyogurt.com/suppliers/berry-frozen-yogurt-mix/,Frozen yogurt mix,http://fyberry.com/,,"Fairfax, VA,US"
BerryLicious Frozen Yogurt Franchising,https://internationalfrozenyogurt.com/suppliers/berrylicious-frozen-yogurt-franchising/,Franchises,,(770) 519-3910,"2800 Marina Bay Drive, Suite J,League City,TX 77573,US"
Best Refrigeration,https://internationalfrozenyogurt.com/suppliers/best-refrigeration/,Frozen yogurt machines,http://www.best-refrigeration.com,(800) 772-4026,"2621 West Mill,Springfield,MO 65802,US"
Beverage Air,https://internationalfrozenyogurt.com/suppliers/beverage-air/,Restaurant equipment,http://www.beverage-air.com/,(336) 245-6400,"3779 Champion Blvd. 	Winston-Salem	NC	27105,US"
Bevo POS,https://internationalfrozenyogurt.com/suppliers/bevo-pos/,Point of sale systems,http://www.bevopos.com/,(800) 785-6012,"6201 Lee Ann Ln,,Naples, FL 34109,US"
Bgreen Today,https://internationalfrozenyogurt.com/suppliers/bgreen-today/,Packaging,http://bgreentoday.com/,(734) 214-3000,"2111 Packard Street,Ann Arbor, MI 48104,US"
Big Train Inc.,https://internationalfrozenyogurt.com/suppliers/big-train-inc/,Frozen yogurt mix,http://www.bigtrain.com,(949) 340-8000,"25392 Commercentre Dr.,Lake Forest,CA 92630,US"
Bio-Gourt Internationale Inc.,https://internationalfrozenyogurt.com/suppliers/bio-gourt-internationale-inc/,Frozen yogurt machines,http://bio-gourt.com/,(418) 682-2210,"735 Avenue Pruneau, Local 100,Quebec G1M 2J9,Canada"
Biz on Wheelz,https://internationalfrozenyogurt.com/suppliers/biz-on-wheelz/,Restaurant equipment,http://icecreamtruck4sale.com,(800) 944-2589,"1947 Scott Futrell Dr.,Charlotte	NC	28208,US"
Bliss Bros. Dairy,https://internationalfrozenyogurt.com/suppliers/bliss-bros-dairy/,Frozen yogurt mix,http://www.blissdairy.com,(508) 222-0787,"PO Box 2288,Attleboro,MA 02703,US"
Blizz Yogurt Franchising,https://internationalfrozenyogurt.com/suppliers/blizz-yogurt-franchising/,Franchises,http://www.blizzyogurt.com,,12155 Mora Dr. Suite 1
Blue Ice Machines,https://internationalfrozenyogurt.com/suppliers/blue-ice-machines/,"Frozen yogurt machines,Frozen yogurt mix,Toppings & ingredients",http://blueicecreammachine.co.uk/,44 (0)20 8801 6919,"Unit 30,Forest Business Park,Argall Avenue,London,E10 7FB,UK"
Boba Tea Direct,https://internationalfrozenyogurt.com/suppliers/boba-tea-direct/,"Frozen yogurt mix,Toppings & ingredients",http://www.bobateadirect.com,(888)881-8108,"9674 E Arapahoe Road #155,Greenwood Village,CO 80112,US"
Bobalife,https://internationalfrozenyogurt.com/suppliers/bobalife/,"Consulting/Services,Packaging",http://www.BOBALIFEUSA.com,,"12961 Ramona Blvd Suite B.,Irwindale, CA 91706,US"
Bossen Store,https://internationalfrozenyogurt.com/suppliers/bossen-store/,"Packaging,Toppings & ingredients",http://www.bossenstore.com,(510) 324-0168,"1508 Crocker Ave.,Hayward,CA 94544,US"
"Box and Wrap, LLC",https://internationalfrozenyogurt.com/suppliers/box-wrap-llc/,Packaging,http://www.boxandwrap.com/,(866) 349-9727,"5260 Westgate Drive, Suites C & D Atlanta, GA 30366,US"
Bravo SpA,https://internationalfrozenyogurt.com/suppliers/bravo-spa/,Frozen yogurt machines,http://www.bravo.it/,+39 0444 707700,"Via della Tecnica, 5,36075 Montecchio Maggiore,Vicenza, Italy"
Brenmar Company,https://internationalfrozenyogurt.com/suppliers/brenmar-company/,Packaging,http://www.brenmarco.com/,(800) 783-7759,"8523 South 117th St.,Omaha, NE 68128,US"
Brooks Industries,https://internationalfrozenyogurt.com/suppliers/brooks-industries/,Frozen yogurt machines,http://www.brooksindustries.com,(918) 459-8382,"12330 E. 51st St.,Tulsa,OK 74146,US"
"BTIC, Inc.",https://internationalfrozenyogurt.com/suppliers/btic-inc/,Franchises,http://www.bticfrozenyogurt.com/,(63-2) 725-4313,138 T. Kalaw
Burkett Restaurant Equipment & Supplies,https://internationalfrozenyogurt.com/suppliers/burkett-restaurant-equipment-supplies/,Restaurant equipment,http://www.basequipment.com,(800) 828-8564,"3011 Council St.,Toledo,OH 43606,US"
Buyboba.com,https://internationalfrozenyogurt.com/suppliers/buyboba-com/,"Frozen yogurt mix,Toppings & ingredients",http://www.buyboba.com,(888) 692-6228,"28064 Avenue Stanford, Unit A,Valencia,CA 91355,US"
Bypass Mobile,https://internationalfrozenyogurt.com/suppliers/bypass-mobile/,Point of sale systems,http://www.bypassmobile.com,(512) 291-6192,"901 S Mopac Expy,Building III Suite 200,Austin, TX 78746,US"
C Squared Social,https://internationalfrozenyogurt.com/suppliers/c-squared-social/,Consulting/Services,http://csquaredsocial.com/,(858) 386-7400,"2205 Faraday Ave. Suite A,Carlsbad, CA 92008,USA"
Cafe Cartel Systems,https://internationalfrozenyogurt.com/suppliers/caf-cartel-systems/,Point of sale systems,http://www.cafecartel.com,(866) 973-8099 X 1,"8340 Clairemont Mesa Blvd #213,San Diego	CA	92111,US"
"Cafe Concepts, Inc.",https://internationalfrozenyogurt.com/suppliers/cafe-concepts-inc/,"Consulting/Services,Restaurant equipment",http://www.cafeconceptsonline.com/,(949) 273-8360,"30366 Esperanza,Rancho Santa Margarita, CA 92688,US"
Caffe Concerto,https://internationalfrozenyogurt.com/suppliers/caffe-concerto/,Restaurant equipment,http://www.caffeconcerto.co.uk,0207 494 6844,"29-31 Piccadilly London, W1J 0LF"
Cake POS,https://internationalfrozenyogurt.com/suppliers/cake-pos/,Point of sale systems,http://www.trycake.com/,(855) 696-2253,"101 Redwood Shores Pkwy,Redwood City, CA 94065,US"
Call Caterlink,https://internationalfrozenyogurt.com/suppliers/call-caterlink/,Toppings & ingredients,http://www.caterlink.co.uk/,44 (0) 1208 78844,"Units 7-8, Bodmin Business Park,Launceston Road,Bodmin, Cornwall,PL31 2RJ,UK"
Calypso/Pinnacle Hospitality Systems,https://internationalfrozenyogurt.com/suppliers/calypsopinnacle-hospitality-systems/,Point of sale systems,http://www.calypso-pos.com/,(800) 771-7100,"2001 W Cypress Creek Rd.,Fort Lauderdale,FL 33309,US"
Cambro,https://internationalfrozenyogurt.com/suppliers/cambro/,Restaurant equipment,http://www.cambro.com,(800) 833-3003,"5801 Skylab Road	Huntington Beach	CA	92647,US"
Canada Food Equipment,https://internationalfrozenyogurt.com/suppliers/canada-food-equipment/,"Frozen yogurt machines,Restaurant equipment",http://www.canadafoodequipment.com/,(416) 253-5100,"45 Vansco Road, Etobicoke, Ontario M8Z 5Z8,Canada"
"Candy Concepts, Inc.",https://internationalfrozenyogurt.com/suppliers/candy-concepts-inc/,Restaurant equipment,http://www.candyconceptsinc.com,(262) 696-4076,"101 West Wisconsin Avenue,Pewaukee,WI 53072,US"
Carmi Flavors,https://internationalfrozenyogurt.com/suppliers/carmi-flavors/,Toppings & ingredients,http://www.carmiflavors.com/,(323) 888-9240,"6030 Scott Way,Commerce, CA 90040,US"
Carpigiani,https://internationalfrozenyogurt.com/suppliers/carpigiani/,Frozen yogurt machines,http://www.carpigiani.com,(+39) 051 6505 111,"Via Emilia, 45, 40011 Anzola Emilia,Bologna,Italy"
Carpigiani Corporation of America ,https://internationalfrozenyogurt.com/suppliers/carpigiani-corporation-america/,Frozen yogurt machines,http://www.carpigiani-usa.com,(800) 648-4389,"3760 Industrial Dr.,Winston Salem	NC	27105,US"
Carpigiani Netherlands,https://internationalfrozenyogurt.com/suppliers/carpigiani-netherlands/,"Consulting/Services,Frozen yogurt machines",http://www.carpigiani.nl/,(0031) - (0) 497-388363,"Eikenbos 6-8,Bladel	MZ	5531,Netherlands"
Castro Distributors,https://internationalfrozenyogurt.com/suppliers/castro-distributors/,Frozen yogurt mix,http://colombopr.com/,(787) 995-2442,"PO Box 270390,San Juan,PR 00927,Puerto Rico"
Catalina Container,https://internationalfrozenyogurt.com/suppliers/catalina-container/,Packaging,http://catalinacontainer.com/,(855) 279-5800,"1900 Raymer Ave.,Fullerton,CA 92833,US"
CaterPro,https://internationalfrozenyogurt.com/suppliers/caterpro/,"Frozen yogurt machines,Restaurant equipment",http://www.caterpro.com.cy/contact/,35770088815,
Central Restaurant Products,https://internationalfrozenyogurt.com/suppliers/central-restaurant-products/,"Frozen yogurt machines,Restaurant equipment",http://www.centralrestaurant.com/,(800) 215-9293,"7750 Georgetown Rd,Indianapolis,IN 46268,US"
Charles Saunders,https://internationalfrozenyogurt.com/suppliers/charles-saunders/,Packaging,http://www.charles-saunders.com/,0117 971 5454,"Unit 2, Netham Industrial Park,,Bristol BS5 9PJ,UK"
Cheeky Moo Frozen Yogurt,https://internationalfrozenyogurt.com/suppliers/cheeky-moo-frozen-yogurt/,"Frozen yogurt machines,Frozen yogurt mix",http://www.cheeky-moo.co.uk/,01395 239 500,"Unit 2 Clyst Court,Hill Barton Business Park,Clyst St Mary,Exeter,EX5 1SA,UK"
Chefs’ Toys,https://internationalfrozenyogurt.com/suppliers/chefs-toys/,Restaurant equipment,http://chefstoys.com/,(714) 435-9222,"18430 Pacific St,Fountain Valley, CA 92708 US"
CherryBerry Franchising,https://internationalfrozenyogurt.com/suppliers/cherryberry-franchising/,Franchises,http://www.cherryberryyogurtbar.com/,,"4605 West Kenosha St.,Broken Arrow,OK 74012,US"
Chillbox Franchising,https://internationalfrozenyogurt.com/suppliers/chillbox-franchising/,Franchises,http://www.chillboxfrozenyogurt.com/,30 210.60.71.300,"31 Dodoni St.,Athens,Pallini 153 51,Greece"
Chillmasters,https://internationalfrozenyogurt.com/suppliers/chillmasters/,Frozen yogurt machines,http://www.chillmasters.com/,(888) 244-5588,"2010 E. University Dr. Suite 10,Tempe,AZ 85281,US"
China Direct Supply,https://internationalfrozenyogurt.com/suppliers/china-direct-supply/,Packaging,http://store.directsupply.com/,(723) 205-0546,"160 Rariton Center Pkwy,Edison,NJ 08837,US"
Chloe’s Soft Serve Fruit Co.,https://internationalfrozenyogurt.com/suppliers/chloes-soft-serve-fruit-co/,Frozen yogurt mix,http://www.chloesfruit.com/,,"25 East 17th St.,New York, NY 10003,US"
Ci Gusta! Franchising,https://internationalfrozenyogurt.com/suppliers/ci-gusta-franchising/,Franchises,http://www.cigusta.com/,0039 0522 1751380,Italy
Cielo USA,https://internationalfrozenyogurt.com/suppliers/cielo-usa/,"Frozen yogurt machines,Frozen yogurt mix,Packaging",http://www.cielousa.com,(877) 652-4356,"9238 Bally Ct.,Rancho Cucamonga,CA 91730,US"
Cincinnati Ice,https://internationalfrozenyogurt.com/suppliers/cincinnati-ice/,Frozen yogurt machines,http://cincinnatiice.com/,(513) 861-9000,"2350 Gilbert Ave.,Cincinnati,OH 45206,US"
CKitchen.com,https://internationalfrozenyogurt.com/suppliers/ckitchen-com/,Restaurant equipment,http://www.ckitchen.com/,(800) 555-0666,"2237 New York Ave.,Brooklyn, NY,11234,US"
Clark Service Group,https://internationalfrozenyogurt.com/suppliers/clark-service-group/,Consulting/Services,http://www.clarkservicegroup.com/,800-678-5517,"2551 Horseshoe Road,Lancaster, PA 17601,US"
Cloud Top Yogurt,https://internationalfrozenyogurt.com/suppliers/cloud-top-yogurt/,Frozen yogurt mix,http://www.cloudtopyogurt.com/,(888) 263-1778,"556 S. Fair Oaks Ave. #101-1,Pasadena,CA 91105,US"
Cocoberry Franchising,https://internationalfrozenyogurt.com/suppliers/cocoberry-franchising/,Franchises,,,"112-113, 1st Floor, Park Center, NH8,Gurgaon,Haryana,India"
Cocowhip,https://internationalfrozenyogurt.com/suppliers/cocowhip/,Frozen yogurt mix,http://cocowhip.com.au/,61407596598,"5/2 Calabro Way,Burleigh Heads,QLD 4220,Australia"
Coffee and Ice,https://internationalfrozenyogurt.com/suppliers/coffee-and-ice/,Frozen yogurt machines,http://www.coffeeandice.co.uk/,0208 720 7272,"Unit 1 Samson House,A127 Arterial Road,Laindon, Essex,SS15 6DR,UK"
Coffee Select,https://internationalfrozenyogurt.com/suppliers/coffee-select/,Frozen yogurt machines,http://www.coffee-select.co.uk/,01256 242313,"Unit 13, Lion Court,Roentgen Road,Basingstoke, Hampshire,RG24 8QU,UK"
Coldstat,https://internationalfrozenyogurt.com/suppliers/coldstat/,"Frozen yogurt machines,Restaurant equipment",http://www.coldstat.com,(201) 599-1200,"60 Eisenhower Drive,Paramus,NJ 07652,US"
Commercial Refrigeration of Harrisburg,https://internationalfrozenyogurt.com/suppliers/commercial-refrigeration-harrisburg/,Consulting/Services,http://www.crhinc.com/,(717) 502-4079,"7841 Witmer Drive, Harrisburg, PA 17111,US"
"Commissary Supply, Inc.",https://internationalfrozenyogurt.com/suppliers/commissary-supply-inc/,"Frozen yogurt mix,Packaging",http://commissarysupplyfl.com/,(800) 375-0228,"4386 Independence Ct.,Sarasota,FL 34234,US"
Compass Engineering,https://internationalfrozenyogurt.com/suppliers/compass-engineering/,Consulting/Services,http://www.compassengineering.uk/,,
Comprital Spa,https://internationalfrozenyogurt.com/suppliers/comprital-spa/,Frozen yogurt mix,http://www.comprital.com,39.02 95770829,"via Verdi 16/49/51/53,Milan,Settala 20090,Italy"
Conrad’s Concessions,https://internationalfrozenyogurt.com/suppliers/conrads-concessions/,Restaurant equipment,http://conradsconcessions.com/,(201) 214-2125,"34 North Washington Ave.,Bergenfield, NJ 07621,US"
"Converpack, Inc.",https://internationalfrozenyogurt.com/suppliers/converpack-inc/,Packaging,http://conver-pack.com/,(786) 304-1680,"9230 NW 102th St.,Medley,FL 33178,US"
Cool King,https://internationalfrozenyogurt.com/suppliers/cool-king/,"Consulting/Services,Frozen yogurt machines,Frozen yogurt mix,Restaurant equipment",http://coolking.com/,(604) 874-5464,"680 Evans Ave.,Vancouver, BC V6A 2K9,Canada"
Cora Inc.,https://internationalfrozenyogurt.com/suppliers/cora-inc/,"Frozen yogurt machines,Restaurant equipment",http://www.corainc.com/,(800) 696-2672,"9630 Joliet Rd,Countryside, IL 60525,US"
Corny Cones,https://internationalfrozenyogurt.com/suppliers/corny-cones/,Toppings & ingredients,http://www.cornycones.com/,(808) 224-8816,"949 Kawaiahao St.,Honolulu, HI 96814,US"
Cotati Food Service,https://internationalfrozenyogurt.com/suppliers/cotati-food-service/,"Frozen yogurt mix,Packaging",http://cotatifoodservice.com/ ,(707) 795-4489,"441 Houser Street,Cotati	CA	94931,US"
Country View Dairy,https://internationalfrozenyogurt.com/suppliers/country-view-dairy/,Frozen yogurt mix,http://www.countryviewdairy.com/,(563) 422-8633,"15197 230th,Hawkeye, IA 52147,US"
Covington Foods/Newberry’s Frozen Yogurt,https://internationalfrozenyogurt.com/suppliers/covington-foods/,Frozen yogurt mix,http://newberrysfrozenyogurt.com/,(954) 837-3312,"4125 Arctic Spring Ave., Suite 1,,Las Vegas, NV 89115,US"
